,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
315,61,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659722,
316,,,,,,
317,62,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589,
318,,,,,,
319,63,2MASS J07522390+1612157,60,0.001918722,6.987884,
320,,,,,,
321,64,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,
322,,,,,,
323,65,2MASS J08251968+2115521 [de],35,0.049638576,0.10070774,
324,,,,,,
325,66,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537,
326,,,,,,
327,67,LHS 2021,55,0.084003744,0.11817745,
328,,,,,,
329,68,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248,
330,,,,,,
331,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,
332,,,,,,
333,70,2MASSI J0847287-153237 [de],43,0.061093632,0.102763,
334,,,,,,
335,71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,
336,,,,,,
337,72,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774,
338,,,,,,
339,73,2MASSI J0937347+293142,20,0.040092696,0.09659722,
340,,,,,,
341,74,2MASS 0939−2448,17.4,0.030546816,0.09762485,
342,,,,,,
343,75,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248,
344,,,,,,
345,76,2MASS J10073369-4555147,46,0.042001872,0.09659722,
346,,,,,,
347,77,2MASSI J1010148-040649 [de],55,0.048683988,0.10070774,
348,,,,,,
349,78,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,
350,,,,,,
351,79,2MASSW J1036530-344138 [de],53,0.046774812,0.09968011,
352,,,,,,
353,80,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,
354,,,,,,
355,81,DEN 1048-3956,13.15,0.073503276,0.10995641,
356,,,,,,
357,82,Luhman 16B,6.516,0.041047284,0.10481826,
358,,,,,,
359,83,Luhman 16A,6.516,0.03818352,0.10379063,
360,,,,,,
361,84,DENIS-P J1058.7−1548,49,0.061093632,0.102763,
362,,,,,,
363,85,TWA 28,180,0.034365168,0.24560357,
364,,,,,,
365,86,Cha 110913-773444,163,0.007636704,0.1849734,
366,,,,,,
367,87,SDSS J111010.01+011613.1,63,0.008591292,0.12742612,
368,,,,,,
369,88,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,
370,,,,,,
371,89,TWA 26,137,0.02863764,0.2260786,
372,,,,,,
373,90,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445,
374,,,,,,
375,91,2MASSW J1155395-372735 [de],31,0.061093632,0.102763,
376,,,,,,
377,92,2MASS J12074836-3900043,217,0.016227996,0.17572473,
378,,,,,,
379,93,2MASSI J1217110-031113 [de],36,0.040092696,0.09659722,
380,,,,,,
381,94,2M 1237+6526,45.6,0.039138108,0.09659722,
382,,,,,,
383,95,TWA 29,262,0.001909176,2.569075,
384,,,,,,
385,96,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070774,
386,,,,,,
387,97,Kelu-1A,61,0.060139044,0.10070774,
388,,,,,,
389,98,Kelu-1B,61,0.055366104,0.10070774,
390,,,,,,
391,99,2MASS J13204427+0409045,101,0.063957396,0.10379063,
392,,,,,,
393,100,SDSSp J132629.82-003831.5 [de],65,0.048683988,0.09968011,
394,,,,,,
395,101,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659722,
396,,,,,,
397,102,2MASS J13595510-4034582,51,0.060139044,0.102763,
398,,,,,,
399,103,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,
400,,,,,,
401,104,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173537,
402,,,,,,
403,105,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,
404,,,,,,
405,106,LHS 2924,38.5,0.072548688,0.10892878,
406,,,,,,
407,107,2MASS J14392837+1929150,47,0.068730336,0.10584589,
408,,,,,,
